Year,Location,Rent,PropertyType,NumberofBedrooms,CPI,Price.Rent.Ratio,VacancyRate,HousingStock
2008,"Ballymun, Dublin 9",1088.52,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Ballymun, Dublin 9",1088.52,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Beaumont, Dublin 9",1154.51,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Beaumont, Dublin 9",1336.57,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Blackrock, Dublin",1416.03,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Blackrock, Dublin",1513.14,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Blackrock, Dublin",1644.53,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Blackrock, Dublin",1937.5,Detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Blanchardstown, Dublin 15",1140.64,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Blanchardstown, Dublin 15",1168.5,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Blanchardstown, Dublin 15",1216.88,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Booterstown, Dublin",1452.67,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Booterstown, Dublin",1452.67,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Booterstown, Dublin",1783.4,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Cabinteely, Dublin 18",1336.24,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Cabinteely, Dublin 18",1498.33,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Cabinteely, Dublin",1232.5,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Cabinteely, Dublin",1232.5,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Cabra, Dublin 7",1193.31,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Cabra, Dublin 7",1311.02,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Cabra, Dublin 7",621.87,Other flats,1 to 2 bed,47.33,123.4,0,1960000
2008,"Cabra, Dublin 7",621.87,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,"Cabra, Dublin 7",621.87,Other flats,1 to 3 bed,47.33,123.4,0,1960000
2008,"Cabra, Dublin 7",989.59,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Cabra, Dublin 7",989.59,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Carpenterstown, Dublin 15",1165.45,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Carpenterstown, Dublin 15",1165.45,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Carrickmines, Dublin 18",1403.41,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Carrickmines, Dublin 18",1403.41,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Castleknock, Dublin 15",1207.96,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Castleknock, Dublin 15",1289.18,Apartment,Two bed,47.33,123.4,0,1960000
2008,"Castleknock, Dublin 15",1289.18,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Castleknock, Dublin 15",1298.33,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Chapelizod, Dublin 20",1166.46,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Charlemont Street, Dublin 2",1499.22,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Charlemont Street, Dublin 2",1499.22,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Christchurch, Dublin 8",1195.86,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Churchtown, Dublin 14",1313.71,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Churchtown, Dublin 14",1313.71,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Churchtown, Dublin 14",1524.86,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Churchtown, Dublin 14",1724.48,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Citywest, Dublin 24",1101.71,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Citywest, Dublin 24",1101.71,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Citywest, Dublin",1177.71,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Citywest, Dublin",1177.71,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Clondalkin, Dublin 22",1080.59,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Clondalkin, Dublin 22",1153.08,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Clondalkin, Dublin 22",1182.13,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Clonee, Dublin 15",1063.58,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Clonee, Dublin 15",1119.34,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Clonee, Dublin 15",1233.29,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Clongriffin, Dublin 13",1175.82,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Clonsilla, Dublin 15",1095.24,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Clonsilla, Dublin 15",1127.95,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Clonsilla, Dublin 15",1286.55,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Clonskeagh, Dublin 14",1471.26,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Clonskeagh, Dublin 14",1800.38,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Clontarf, Dublin 3",1256.16,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Clontarf, Dublin 3",1256.16,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Clontarf, Dublin 3",1456.73,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Clontarf, Dublin 3",1484.82,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Clontarf, Dublin 3",680.26,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,"Clontarf, Dublin 3",680.26,Other flats,1 to 3 bed,47.33,123.4,0,1960000
2008,"Clontarf, Dublin 3",680.26,Other flats,1 to 2 bed,47.33,123.4,0,1960000
2008,"Cork Street, Dublin 8",1282.1,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Cork Street, Dublin 8",1282.1,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Crumlin, Dublin 12",1113.08,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Crumlin, Dublin 12",1113.08,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Crumlin, Dublin 12",1235,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Crumlin, Dublin 12",1277.7,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Dalkey, Dublin",1454.15,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Dalkey, Dublin",1454.15,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Dartry, Dublin 6",1345.91,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Dolphins Barn, Dublin 8",1212.16,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Dolphins Barn, Dublin 8",1212.16,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Donabate, Dublin",1024.07,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Donabate, Dublin",1024.07,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Donabate, Dublin",1278.9,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Donaghmede, Dublin 13",1175,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Donaghmede, Dublin 13",1175,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Donaghmede, Dublin 13",1175,Apartment,1 to 2 bed,47.33,123.4,0,1960000
2008,"Donaghmede, Dublin 13",1357.67,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Donnybrook, Dublin 4",1480.5,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Donnybrook, Dublin 4",1725.14,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Donnybrook, Dublin 4",1981.48,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Donnybrook, Dublin 4",808.16,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,"Donnybrook, Dublin 4",808.16,Other flats,1 to 2 bed,47.33,123.4,0,1960000
2008,"Donnybrook, Dublin 4",808.16,Other flats,1 to 3 bed,47.33,123.4,0,1960000
2008,"Drimnagh, Dublin 12",1284.34,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Drimnagh, Dublin 12",1294.48,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Drimnagh, Dublin 12",1332.75,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Drimnagh, Dublin 12",1332.75,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Drumcondra, Dublin 9",1245.48,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Drumcondra, Dublin 9",1397.65,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Drumcondra, Dublin 9",1412.89,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Drumcondra, Dublin 9",670.55,Other flats,1 to 3 bed,47.33,123.4,0,1960000
2008,"Drumcondra, Dublin 9",670.55,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 1,1157.3,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 1,1249.64,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 1,1260.92,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 1,768.98,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 10,1084.97,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 10,1114.72,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 10,1114.72,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,Dublin 10,1184.78,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 11,1119.42,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 11,1233.23,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 11,1278.58,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 12,1240.56,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,Dublin 12,1240.56,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 12,1270.6,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 12,1304.45,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 12,696.71,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 12,696.71,Other flats,1 to 3 bed,47.33,123.4,0,1960000
2008,Dublin 13,1210.63,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 13,1327.24,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 13,1338.02,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 13,1564.52,Detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 14,1399.08,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 14,1501.94,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 14,1658.91,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 14,1943.25,Detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 15,1186.61,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 15,1203.77,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 15,1268.4,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 15,1335.28,Detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 16,1352.69,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 16,1356.82,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 16,1457.62,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 16,1600.9,Detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 17,1192.89,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 17,1199.69,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 18,1394.99,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 18,1511.84,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 18,1575.87,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 18,2129.25,Detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 2,1433.62,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 2,1711.47,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 2,917.66,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 20,1158.01,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 20,1179.29,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 20,1252.61,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 24,1137.78,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 24,1218.26,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 24,1224.04,Detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 24,1259.29,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 3,1234.44,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 3,1291.41,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 3,1390.91,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 3,730.22,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 4,1473.06,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 4,1708.09,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 4,1927.29,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 4,2349.9,Detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 4,861.24,Other flats,1 to 3 bed,47.33,123.4,0,1960000
2008,Dublin 4,861.24,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 5,1251.97,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 5,1314.51,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 5,1345.46,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 6,1215.48,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 6,1544.54,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 6,1585.43,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 6,1950.48,Detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 6,757.66,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 6W,1225.58,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 6W,1504.89,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 6W,1633.51,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 6W,707.53,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 7,1143.01,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 7,1221.66,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 7,1297.71,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 7,675.16,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 8,1163.34,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 8,1273.56,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 8,1304.93,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 8,694.76,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 9,1016.28,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 9,1334.06,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 9,1368.89,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 9,653.61,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,Dublin 9,653.61,Other flats,1 to 3 bed,47.33,123.4,0,1960000
2008,Dublin,1263.13,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,Dublin,1270.66,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin,1355.61,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin,1693.36,Detached house,All bedrooms,47.33,123.4,0,1960000
2008,Dublin,837.32,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,"Dun Laoghaire, Dublin",1285.73,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Dun Laoghaire, Dublin",1334.84,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Dun Laoghaire, Dublin",1334.84,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Dun Laoghaire, Dublin",1484.88,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Dun Laoghaire, Dublin",804.6,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,"Dundrum, Dublin 14",1430.2,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Dundrum, Dublin 14",1430.2,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Dundrum, Dublin 14",1558.61,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Dundrum, Dublin 14",1604.9,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Dundrum, Dublin 16",1482.84,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Dundrum, Dublin 16",1482.84,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Dundrum, Dublin 16",1628.85,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"East Wall, Dublin 3",1180.23,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"East Wall, Dublin 3",1321.41,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"East Wall, Dublin 3",1321.41,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Fairview, Dublin 3",1095.83,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Fairview, Dublin 3",1237.85,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Fairview, Dublin 3",695.65,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,"Fairview, Dublin 3",695.65,Other flats,1 to 2 bed,47.33,123.4,0,1960000
2008,"Fairview, Dublin 3",695.65,Other flats,1 to 3 bed,47.33,123.4,0,1960000
2008,"Finglas, Dublin 11",1148.91,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Finglas, Dublin 11",1205.97,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Finglas, Dublin 11",1206.81,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Firhouse, Dublin 24",1244.95,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Glasnevin, Dublin 11",1112.99,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Glasnevin, Dublin 11",1112.99,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Glasnevin, Dublin 11",1397.44,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Glasnevin, Dublin 9",1079,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Glasnevin, Dublin 9",1079,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Glasnevin, Dublin 9",1491.9,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Glasnevin, Dublin 9",573.54,Other flats,1 to 2 bed,47.33,123.4,0,1960000
2008,"Glasnevin, Dublin 9",573.54,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,"Glasnevin, Dublin 9",573.54,Other flats,1 to 3 bed,47.33,123.4,0,1960000
2008,"Goatstown, Dublin 14",1456.45,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Goatstown, Dublin 14",1771.13,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Harolds Cross, Dublin 6",1380.56,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Harolds Cross, Dublin 6",1441.61,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Harolds Cross, Dublin 6W",1085.5,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Harolds Cross, Dublin 6W",1476.42,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Harolds Cross, Dublin 6W",1716.99,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Harolds Cross, Dublin 6W",687.44,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,"Howth, Dublin",1580.59,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Howth, Dublin",1580.59,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"I.F.S.C., Dublin 1",1229.73,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Inchicore, Dublin 8",1176.11,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Inchicore, Dublin 8",1263.65,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Inchicore, Dublin 8",600.15,Other flats,All bedrooms,47.33,123.4,0,1960000
2008,"Islandbridge, Dublin 8",1230.57,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Islandbridge, Dublin 8",1230.57,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Killester, Dublin 5",1458.87,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Killiney, Dublin",1525.76,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Kilmainham , Dublin 8",1157.42,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Kilmainham , Dublin 8",1299.53,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Kimmage, Dublin 12",1344.84,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Kinsealy, Dublin",1131.72,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Kinsealy, Dublin",1131.72,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Kinsealy, Dublin",1285,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Knocklyon, Dublin 16",1425.37,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Leopardstown, Dublin 18",1545.14,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Lower Mount Street, Dublin 2",1252.9,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Lower Mount Street, Dublin 2",1252.9,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Lucan, Dublin",1122.01,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Lucan, Dublin",1206.76,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Lucan, Dublin",1241.39,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Lucan, Dublin",1536.44,Detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Lusk, Dublin",1138.66,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Lusk, Dublin",1164.17,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Lusk, Dublin",1164.17,Terrace house,1 to 3 bed,47.33,123.4,0,1960000
2008,"Malahide Road, Dublin 17",1246.15,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Malahide, Dublin",1438.96,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Malahide, Dublin",1502.47,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Malahide, Dublin",1577.66,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Meakstown, Dublin 11",1235.94,Apartment,1 to 3 bed,47.33,123.4,0,1960000
2008,"Meakstown, Dublin 11",1235.94,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Merrion, Dublin 4",1419.91,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Milltown, Dublin 6",1481.39,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Monkstown, Dublin",1229.57,Apartment,All bedrooms,47.33,123.4,0,1960000
2008,"Monkstown, Dublin",1310.03,Terrace house,1 to 3 bed,47.33,123.4,0,1960000
2008,"Monkstown, Dublin",1310.03,Terrace house,All bedrooms,47.33,123.4,0,1960000
2008,"Monkstown, Dublin",1329.45,Semi detached house,All bedrooms,47.33,123.4,0,1960000
2008,"Mulhuddart, Dublin 15",1174.15,Semi detached house,All bedrooms,47.33,123.4,0,1960000
